Country,Points,Price,Province,Region,Variety
US,96,235.0,California,Napa Valley,Cabernet Sauvignon
US,96,90.0,California,Knights Valley,Sauvignon Blanc
US,96,65.0,Oregon,Willamette Valley,Pinot Noir
US,95,65.0,Oregon,Chehalem Mountains,Pinot Noir
US,95,60.0,California,Sonoma Coast,Pinot Noir
US,95,48.0,Oregon,Ribbon Ridge,Pinot Noir
US,95,48.0,Oregon,Dundee Hills,Pinot Noir
US,95,185.0,Oregon,Dundee Hills,Pinot Noir
US,95,90.0,Oregon,Willamette Valley,Chardonnay
US,95,325.0,California,Diamond Mountain District,Cabernet Sauvignon
US,95,75.0,California,Sonoma Coast,Pinot Noir
US,95,24.0,California,Napa Valley,Rosé
US,95,60.0,California,Edna Valley,Chardonnay
US,95,45.0,California,Santa Cruz Mountains,Pinot Noir
US,94,62.0,Oregon,Willamette Valley,Pinot Noir
US,94,105.0,Oregon,Willamette Valley,Pinot Noir
US,94,60.0,California,Santa Lucia Highlands,Pinot Noir
US,94,60.0,Washington,Walla Walla Valley (WA),Syrah
US,90,37.0,California,Russian River Valley,Chardonnay
US,90,42.0,Washington,Columbia Valley (WA),Chardonnay
US,90,60.0,California,Mount Veeder,Cabernet Sauvignon
US,90,40.0,Washington,Red Mountain,Cabernet Sauvignon
US,90,18.0,California,Russian River Valley,Chardonnay
US,90,69.0,Washington,Red Mountain,Cabernet Sauvignon
US,90,25.0,New York,Finger Lakes,Riesling
US,90,30.0,Washington,Columbia Valley (WA),Cabernet Sauvignon-Syrah
US,91,36.0,California,Santa Clara Valley,Syrah
US,91,85.0,California,Napa Valley,Cabernet Sauvignon
US,91,50.0,Oregon,Eola-Amity Hills,Pinot Noir
US,91,60.0,California,Rutherford,Cabernet Sauvignon
US,91,85.0,California,St. Helena,Cabernet Sauvignon
US,91,45.0,California,Sonoma Coast,Pinot Noir
US,91,19.0,Oregon,Willamette Valley,Pinot Gris
US,91,54.0,Oregon,Willamette Valley,Pinot Noir
US,91,38.0,California,Napa Valley,Sauvignon Blanc
US,91,28.0,California,Napa Valley,Cabernet Sauvignon
US,91,42.0,Oregon,Eola-Amity Hills,Pinot Noir
US,91,22.0,California,Napa Valley,Cabernet Sauvignon
US,91,65.0,California,Russian River Valley,Pinot Noir
US,91,50.0,California,Napa Valley,Meritage
US,86,10.0,California,California,Cabernet Sauvignon
US,86,13.0,California,Mendocino County,Chardonnay
US,86,18.0,California,California,Chardonnay
US,86,36.0,California,Sonoma Valley,Cabernet Sauvignon
US,86,24.0,California,South Coast,Viognier
US,86,50.0,California,Napa Valley,Cabernet Sauvignon
US,86,48.0,California,Knights Valley,Cabernet Sauvignon-Cabernet Franc
US,86,20.0,California,Paso Robles,Moscato
US,86,17.0,Washington,Yakima Valley,Pinot Grigio
US,86,12.0,California,Lodi,Cabernet Franc
US,86,10.0,California,California,Chardonnay
US,86,13.0,California,California,White Blend
US,86,45.0,California,Napa Valley,Chardonnay
US,86,125.0,California,Howell Mountain,Cabernet Sauvignon
US,86,25.0,New York,Hudson River Region,Riesling
US,91,59.0,California,Russian River Valley,Pinot Noir
US,91,49.0,California,Anderson Valley,Pinot Noir
US,91,42.0,California,Santa Maria Valley,Sparkling Blend
US,91,93.0,California,Napa Valley,Chardonnay
US,91,32.0,California,Anderson Valley,Pinot Noir
US,91,20.0,California,Anderson Valley,Pinot Noir
US,90,100.0,California,Amador County,Zinfandel
US,90,50.0,California,St. Helena,Cabernet Sauvignon
US,90,45.0,California,Santa Lucia Highlands,Chardonnay
US,90,26.0,California,Amador County,Barbera
US,90,16.0,California,Sonoma County,Chardonnay
US,90,30.0,California,Napa Valley,Cabernet Sauvignon
US,90,42.0,California,Adelaida District,Grenache
US,90,38.0,California,Adelaida District,Zinfandel
US,90,48.0,California,California,Rhône-style Red Blend
US,90,28.0,California,Napa Valley,Sauvignon Blanc
US,90,25.0,California,Santa Lucia Highlands,Grenache
US,90,26.0,Oregon,Applegate Valley,Chardonnay
US,90,24.0,California,Edna Valley,Albariño
US,90,55.0,California,Anderson Valley,Pinot Noir
US,90,36.0,California,Napa Valley,Zinfandel
US,90,40.0,California,Sta. Rita Hills,Syrah
US,90,28.0,California,Ballard Canyon,Malvasia Bianca
US,89,50.0,Oregon,Willamette Valley,Pinot Noir
US,89,24.0,Oregon,Rogue Valley,Sangiovese
US,89,42.0,California,Happy Canyon of Santa Barbara,Bordeaux-style Red Blend
US,89,35.0,Oregon,Oregon,Pinot Noir
US,89,16.0,California,Dunnigan Hills,Syrah
US,89,23.0,California,Paso Robles,Viognier
US,89,36.0,Oregon,Willamette Valley,Pinot Noir
US,89,25.0,California,Livermore Valley,Chardonnay
US,89,42.0,California,Sta. Rita Hills,Pinot Noir
US,89,49.0,California,Anderson Valley,Pinot Noir
US,89,29.0,California,Napa Valley,Cabernet Sauvignon
US,88,25.0,California,Sonoma Coast,Chardonnay
US,88,25.0,California,Paso Robles,Syrah
US,88,49.0,California,Sonoma Coast,Pinot Noir
US,88,20.0,Washington,Yakima Valley,Picpoul
US,88,34.0,Washington,Columbia Valley (WA),Bordeaux-style Red Blend
US,88,38.0,California,Paso Robles,Zinfandel
US,88,38.0,California,Paso Robles,Zinfandel
US,87,10.0,California,California,Chardonnay
US,87,18.0,Washington,Columbia Valley (WA),Malbec
US,87,18.0,New York,Finger Lakes,Chardonnay
US,87,14.0,New York,Finger Lakes,Riesling
US,87,14.0,New York,Finger Lakes,Riesling
US,87,40.0,New York,Finger Lakes,Cabernet Franc
US,87,10.0,Washington,Columbia Valley (WA),Gewürztraminer
US,87,11.0,Washington,Columbia Valley (WA),Merlot
US,87,36.0,Washington,Columbia Valley (WA),Cabernet Sauvignon
US,87,20.0,New York,Finger Lakes,Cabernet Franc
US,87,32.0,Washington,Wahluke Slope,Grenache
US,93,50.0,California,Rockpile,Zinfandel
US,93,58.0,Washington,Red Mountain,G-S-M
US,93,38.0,California,Paso Robles,Mourvèdre
US,93,50.0,California,Napa Valley,Zinfandel
US,93,50.0,California,Fort Ross-Seaview,Syrah
US,93,80.0,Washington,Red Mountain,Cabernet Sauvignon
US,93,40.0,California,Santa Barbara County,Syrah
US,93,48.0,Washington,Horse Heaven Hills,Cabernet Sauvignon
US,93,200.0,California,Napa Valley,Cabernet Sauvignon
